clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,
HBOS,0.209166667,1255,1057,4943,0.409778379,0.76235259,0.842231076
HBOS,0.21,1260,1049,4951,0.432042395,0.768231605,0.832539683
HBOS,0.211666667,1270,1119,4881,0.420166969,0.762797667,0.881102362
HBOS,0.210333333,1262,1241,4759,0.408172218,0.760648329,0.983359746
HBOS,0.200666667,1204,1191,4809,0.420514119,0.774849214,0.989202658
HBOS,0.206,1236,1198,4802,0.422666357,0.769709119,0.969255663
HBOS,0.207,1242,1141,4859,0.421217355,0.768177192,0.918679549
HBOS,0.2035,1221,1218,4782,0.411640968,0.76914863,0.997542998
HBOS,0.211166667,1267,1248,4752,0.407681394,0.759591415,0.985003946
HBOS,0.211666667,1270,1237,4763,0.404696942,0.758144494,0.974015748
HBOS,0.200666667,1204,1196,4804,0.418434243,0.774236911,0.993355482
HBOS,0.215333333,1292,1292,4708,0.399776679,0.752661253,1
HBOS,0.213666667,1282,1263,4737,0.407318306,0.756752175,0.985179407
HBOS,0.206666667,1240,1124,4876,0.425643806,0.769873212,0.906451613
HBOS,0.2095,1257,1063,4937,0.4226603,0.765892425,0.84566428
HBOS,0.213,1278,1178,4822,0.392166922,0.752914103,0.921752739
HBOS,0.215166667,1291,1230,4770,0.391605458,0.750372171,0.952749806
HBOS,0.206666667,1240,1240,4760,0.409392789,0.765024798,1
HBOS,0.200166667,1201,1036,4964,0.42381184,0.776337257,0.862614488
HBOS,0.211166667,1267,1165,4835,0.490990478,0.785845978,0.91949487
HBOS,0.205166667,1231,1230,4770,0.481932972,0.788995782,0.999187652
HBOS,0.207666667,1246,1243,4757,0.494869742,0.790649593,0.997592295
HBOS,0.2125,1275,1274,4726,0.567363834,0.810865316,0.999215686
HBOS,0.215166667,1291,1150,4850,0.471653897,0.775404194,0.890782339
HBOS,0.215666667,1294,1239,4761,0.455557902,0.769661386,0.957496136
HBOS,0.206833333,1241,1228,4772,0.467494644,0.782681757,0.989524577
HBOS,0.210333333,1262,1146,4854,0.498473749,0.789160069,0.908082409
HBOS,0.197166667,1183,1181,4819,0.470069111,0.793496941,0.998309383
HBOS,0.209333333,1256,1255,4745,0.464396865,0.779103249,0.999203822
HBOS,0.214666667,1288,1211,4789,0.486672721,0.780871991,0.940217391
HBOS,0.218333333,1310,1279,4721,0.479858884,0.774868788,0.976335878
HBOS,0.220166667,1321,1310,4690,0.538625883,0.793385547,0.991672975
HBOS,0.204,1224,1145,4855,0.446844106,0.779199365,0.935457516
HBOS,0.203666667,1222,1215,4785,0.475103259,0.788360195,0.994271686
HBOS,0.1985,1191,1179,4821,0.471175216,0.79245871,0.989924433
HBOS,0.216666667,1300,1244,4756,0.431489362,0.760948774,0.956923077
HBOS,0.201666667,1210,1197,4803,0.477020825,0.791019835,0.989256198
HBOS,0.209166667,1255,1255,4745,0.480602353,0.78448182,1
HBOS,0.209833333,1259,1156,4844,0.480615921,0.783803546,0.918189039
HBOS,0.210833333,1265,1265,4735,0.400979169,0.757959351,1
HBOS,0.2055,1233,1114,4886,0.428580871,0.772019462,0.903487429
HBOS,0.204,1224,1080,4920,0.422857753,0.771908288,0.882352941
HBOS,0.215666667,1294,1063,4937,0.433367808,0.762578433,0.821483771
HBOS,0.209166667,1255,1237,4763,0.388292142,0.75605235,0.985657371
HBOS,0.205666667,1234,1227,4773,0.393719934,0.761516166,0.994327391
HBOS,0.195,1170,1170,4830,0.422944206,0.781711442,1
HBOS,0.220333333,1322,1311,4689,0.378309744,0.740726044,0.991679274
HBOS,0.217333333,1304,1290,4710,0.408210617,0.753027102,0.989263804
HBOS,0.215,1290,1234,4766,0.393689824,0.751180159,0.956589147
HBOS,0.212666667,1276,1267,4733,0.409196752,0.758414018,0.992946708
HBOS,0.205333333,1232,1214,4786,0.410485488,0.766800484,0.98538961
HBOS,0.212666667,1276,1243,4757,0.390336214,0.752769761,0.974137931
HBOS,0.208333333,1250,1145,4855,0.416863158,0.765417058,0.916
HBOS,0.2025,1215,1175,4825,0.420049796,0.772716845,0.967078189
HBOS,0.206,1236,1191,4809,0.415758765,0.767635664,0.963592233
HBOS,0.211833333,1271,1221,4779,0.399352872,0.756357801,0.960660897
HBOS,0.194333333,1166,982,5018,0.443136843,0.788331313,0.84219554
HBOS,0.204166667,1225,1152,4848,0.426043381,0.772698244,0.940408163
HBOS,0.2135,1281,1193,4807,0.416772001,0.759788937,0.931303669
HBOS,0.209,1254,1231,4769,0.389466728,0.756577913,0.981658692
HBOS,0.209166667,1255,1251,4749,0.38077154,0.753874394,0.996812749
HBOS,0.207666667,1246,1244,4756,0.385369489,0.756876191,0.998394864
HBOS,0.208333333,1250,1246,4754,0.380968421,0.75486052,0.9968
HBOS,0.204,1224,1208,4792,0.393035439,0.763159558,0.986928105
HBOS,0.197,1182,1182,4818,0.394719042,0.771411648,1
HBOS,0.213166667,1279,1275,4725,0.378379735,0.748721643,0.996872557
HBOS,0.205666667,1234,1234,4766,0.381253354,0.757920336,1
HBOS,0.2125,1275,1273,4727,0.37923436,0.749714432,0.998431373
HBOS,0.2095,1257,1257,4743,0.384094234,0.754468262,1
HBOS,0.2,1200,1193,4807,0.389791667,0.766673844,0.994166667
HBOS,0.206166667,1237,1230,4770,0.384118367,0.758182256,0.994341148
HBOS,0.209333333,1256,1247,4753,0.382164934,0.754089419,0.992834395
HBOS,0.215833333,1295,1257,4743,0.382174553,0.746849065,0.970656371
HBOS,0.201833333,1211,1197,4803,0.388992873,0.764402989,0.988439306
HBOS,0.214,1284,1280,4720,0.382622688,0.749035,0.996884735
HBOS,0.206333333,1238,1232,4768,0.387435466,0.758954594,0.995153473
HBOS,0.208166667,1249,1220,4780,0.389806183,0.757598074,0.976781425
HBOS,0.2095,1257,1252,4748,0.381098989,0.753597038,0.996022275
HBOS,0.212,1272,1254,4746,0.381353159,0.750879788,0.985849057
HBOS,0.215,1290,1286,4714,0.434582531,0.763708931,0.996899225
HBOS,0.202,1212,1207,4793,0.454085916,0.783541384,0.995874587
HBOS,0.195166667,1171,1141,4859,0.434381731,0.784871114,0.974380871
HBOS,0.213166667,1279,1270,4730,0.45343531,0.771606411,0.992963253
HBOS,0.209666667,1258,1257,4743,0.44289554,0.771981447,0.999205087
HBOS,0.210333333,1262,1252,4748,0.447651219,0.772761031,0.99207607
HBOS,0.2145,1287,1270,4730,0.522545882,0.793190715,0.986790987
HBOS,0.217166667,1303,1300,4700,0.441023082,0.763436298,0.997697621
HBOS,0.203833333,1223,1215,4785,0.452420471,0.781099349,0.993458708
HBOS,0.205166667,1231,1222,4778,0.480216634,0.78844683,0.992688871
HBOS,0.205166667,1231,1226,4774,0.446581113,0.777890908,0.995938262
HBOS,0.208333333,1250,1250,4750,0.440673684,0.772708266,1
HBOS,0.2155,1293,1246,4754,0.447004437,0.767097724,0.963650425
HBOS,0.201333333,1208,1208,4792,0.436146337,0.778792649,1
HBOS,0.206166667,1237,1236,4764,0.468012321,0.783536929,0.999191593
HBOS,0.211,1266,1264,4736,0.456098567,0.774725749,0.998420221
HBOS,0.209166667,1255,1242,4758,0.448218926,0.774170449,0.989641434
HBOS,0.207833333,1247,1245,4755,0.441410827,0.77346743,0.998396151
HBOS,0.202666667,1216,1215,4785,0.511737315,0.801149296,0.999177632
HBOS,0.200666667,1204,1189,4811,0.438386848,0.780177427,0.987541528
HBOS,0.207166667,1243,1221,4779,0.387391,0.758008499,0.982300885
HBOS,0.211666667,1270,1251,4749,0.383740074,0.751946759,0.98503937
HBOS,0.210166667,1261,1234,4766,0.382354211,0.753207216,0.978588422
HBOS,0.207666667,1246,1239,4761,0.388934114,0.75790829,0.994382022
HBOS,0.211,1266,1263,4737,0.378116259,0.751061711,0.997630332
HBOS,0.213833333,1283,1282,4718,0.374518479,0.746856854,0.999220577
HBOS,0.218833333,1313,1307,4693,0.376658811,0.741907838,0.995430312
HBOS,0.2115,1269,1249,4751,0.38248952,0.751766461,0.984239559
HBOS,0.206833333,1241,1241,4759,0.38231459,0.756923294,1
HBOS,0.209833333,1259,1249,4751,0.37883141,0.752566684,0.992057188
HBOS,0.207333333,1244,1244,4756,0.385443738,0.757269392,1
HBOS,0.205833333,1235,1229,4771,0.386332528,0.75919198,0.9951417
HBOS,0.195166667,1171,1132,4868,0.392340947,0.772763667,0.966695132
HBOS,0.202333333,1214,1202,4798,0.391464396,0.764556762,0.990115321
HBOS,0.206,1236,1210,4790,0.385742992,0.758827256,0.978964401
HBOS,0.202166667,1213,1193,4807,0.390374556,0.764425745,0.983511954
HBOS,0.215166667,1291,1284,4716,0.37600223,0.745797437,0.994577847
HBOS,0.209,1254,1252,4748,0.381709503,0.754332487,0.998405104
HBOS,0.202666667,1216,1211,4789,0.385293357,0.762421252,0.995888158
HBOS,0.2075,1245,1238,4762,0.391611873,0.758872823,0.99437751
HBOS,0.706,4236,2400,3600,0.202742287,0.256924036,0.566572238
HBOS,0.701833333,4211,2326,3674,0.186812295,0.261193383,0.552362859
HBOS,0.702166667,4213,2309,3691,0.189862805,0.259955507,0.548065512
HBOS,0.705666667,4234,2400,3600,0.199648694,0.257713445,0.566839868
HBOS,0.703833333,4223,2399,3601,0.200771934,0.258969818,0.568079564
HBOS,0.7015,4209,2403,3597,0.204030368,0.260404092,0.570919458
HBOS,0.71,4260,2392,3608,0.196325077,0.254622881,0.561502347
HBOS,0.704,4224,2351,3649,0.182835534,0.260876708,0.556581439
HBOS,0.701,4206,2334,3666,0.192216248,0.261098437,0.554921541
HBOS,0.704166667,4225,2301,3699,0.193059422,0.257619273,0.544615385
HBOS,0.707166667,4243,2390,3610,0.20055001,0.256112442,0.563280698
HBOS,0.699666667,4198,2358,3642,0.187177024,0.263674409,0.561696046
HBOS,0.703333333,4220,2338,3662,0.19631237,0.258637434,0.554028436
HBOS,0.704166667,4225,2307,3693,0.193769481,0.257645733,0.546035503
HBOS,0.700666667,4204,2342,3658,0.194865321,0.261109251,0.557088487
HBOS,0.700833333,4205,2326,3674,0.196287415,0.260350451,0.553151011
HBOS,0.701,4206,2321,3679,0.185104652,0.262039726,0.551830718
HBOS,0.701666667,4210,2431,3569,0.195158508,0.26249403,0.577434679
HBOS,0.704,4224,2396,3604,0.20575796,0.257950357,0.567234848
